Country|Continent|Population|Area
Brazil|South America|193,364,000|8,511,965
Canada|North America|34,207,000|9,976,140
China|Asia|1,339,190,000|9,596,960
Colombia|South America|48,654,392|1,090,909
Colombia|1,091,111||48,654,404
Egypt|Africa|93,383,574|1,000,000
Egypt|||93,384,001
France|Europe|64,668,129|541,656
France|||64,669,829
Indonesia|Asia|260,581,100|1,809,590
Indonesia|||260,581,345
Italy|Europe|59,801,004|300,000
Italy|||59,801,999
Japan|Asia|127,380,000|377,835
Japan|377,800||127,380,555
Mexico|North America|128,632,004|1,969,230
Mexico|||128,632,777
Nigeria|Africa|186,987,563|912,134
Sweden|450,295|Europe|9,995,345
Vietnam|331,310|Asia|95,541,921
